"Description","Elevation","Latitude","Longitude"
"Fiemme_Fassa_trk 243",855.5,46.281586,11.464974
"Fiemme_Fassa_trk 244",856.8,46.281682,11.465134
"Fiemme_Fassa_trk 245",857.6,46.281822,11.465335
"Fiemme_Fassa_trk 246",857.9,46.281934,11.465561
"Fiemme_Fassa_trk 247",856.7,46.282088,11.465905
"Fiemme_Fassa_trk 248",856.8,46.282148,11.466064
"Fiemme_Fassa_trk 249",857.2,46.282198,11.466248
"Fiemme_Fassa_trk 250",857.4,46.28223,11.466444
"Fiemme_Fassa_trk 251",857.6,46.282245,11.466561
"Fiemme_Fassa_trk 252",857.5,46.282288,11.466667
"Fiemme_Fassa_trk 253",857.5,46.28233,11.466798
"Fiemme_Fassa_trk 254",857.7,46.282371,11.466969
"Fiemme_Fassa_trk 255",858.0,46.282395,11.467113
"Fiemme_Fassa_trk 256",859.2,46.282436,11.467297
"Fiemme_Fassa_trk 257",860.2,46.28246,11.467454
"Fiemme_Fassa_trk 258",861.5,46.282491,11.467689
"Fiemme_Fassa_trk 259",862.9,46.282529,11.468015
"Fiemme_Fassa_trk 260",863.7,46.282558,11.468328
"Fiemme_Fassa_trk 261",864.1,46.282572,11.46851
"Fiemme_Fassa_trk 262",864.1,46.282611,11.468771
"Fiemme_Fassa_trk 263",864.4,46.282647,11.469188
"Fiemme_Fassa_trk 264",864.1,46.282687,11.469437
"Fiemme_Fassa_trk 265",864.5,46.282735,11.469699
"Fiemme_Fassa_trk 266",865.9,46.282758,11.469907
"Fiemme_Fassa_trk 267",866.8,46.282791,11.470065
"Fiemme_Fassa_trk 268",867.1,46.282833,11.470183
"Fiemme_Fassa_trk 269",868.0,46.282848,11.470301
"Fiemme_Fassa_trk 270",869.3,46.282846,11.470418
"Fiemme_Fassa_trk 271",870.7,46.282807,11.470533
"Fiemme_Fassa_trk 272",872.9,46.282724,11.470659
"Fiemme_Fassa_trk 273",874.7,46.282675,11.470812
"Fiemme_Fassa_trk 274",875.9,46.282663,11.47098
"Fiemme_Fassa_trk 275",877.1,46.282676,11.471215
"Fiemme_Fassa_trk 276",877.2,46.282692,11.47128
"Fiemme_Fassa_trk 277",877.5,46.282691,11.471358
"Fiemme_Fassa_trk 278",879.0,46.282643,11.471486
"Fiemme_Fassa_trk 279",880.5,46.282587,11.471587
"Fiemme_Fassa_trk 280",882.1,46.282531,11.471676
"Fiemme_Fassa_trk 281",883.9,46.282483,11.471803
"Fiemme_Fassa_trk 282",885.1,46.282454,11.471906
"Fiemme_Fassa_trk 283",885.9,46.282451,11.472035
"Fiemme_Fassa_trk 284",885.4,46.282485,11.472128
"Fiemme_Fassa_trk 285",884.5,46.282528,11.472195
"Fiemme_Fassa_trk 286",881.8,46.282653,11.472252
"Fiemme_Fassa_trk 287",879.0,46.282812,11.472389
"Fiemme_Fassa_trk 288",877.3,46.28291,11.472445
"Fiemme_Fassa_trk 289",875.6,46.283034,11.472529
"Fiemme_Fassa_trk 290",874.6,46.283113,11.472623
"Fiemme_Fassa_trk 291",874.5,46.283172,11.472795
"Fiemme_Fassa_trk 292",874.4,46.283222,11.473005
"Fiemme_Fassa_trk 293",876.7,46.283186,11.473419
"Fiemme_Fassa_trk 294",877.0,46.283192,11.473562
"Fiemme_Fassa_trk 295",876.9,46.283305,11.474138
"Fiemme_Fassa_trk 296",877.1,46.283328,11.474334
"Fiemme_Fassa_trk 297",878.0,46.283332,11.474568
"Fiemme_Fassa_trk 298",882.4,46.283301,11.475189
"Fiemme_Fassa_trk 299",887.4,46.283248,11.47594
"Fiemme_Fassa_trk 300",890.6,46.283193,11.476392
"Fiemme_Fassa_trk 301",892.4,46.283142,11.476714
"Fiemme_Fassa_trk 302",892.6,46.283115,11.477128
"Fiemme_Fassa_trk 303",887.6,46.283097,11.47753
"Fiemme_Fassa_trk 304",884.8,46.283092,11.477737
"Fiemme_Fassa_trk 305",883.0,46.28307,11.477957
"Fiemme_Fassa_trk 306",883.3,46.283047,11.478164
"Fiemme_Fassa_trk 307",883.8,46.283015,11.478409
"Fiemme_Fassa_trk 308",883.8,46.282991,11.47868
"Fiemme_Fassa_trk 309",879.9,46.282999,11.479109
"Fiemme_Fassa_trk 310",877.0,46.28303,11.479344
"Fiemme_Fassa_trk 311",873.5,46.283088,11.479606
"Fiemme_Fassa_trk 312",869.1,46.283171,11.479895
"Fiemme_Fassa_trk 313",866.5,46.283202,11.480131
"Fiemme_Fassa_trk 314",865.0,46.283199,11.480299
"Fiemme_Fassa_trk 315",864.2,46.28316,11.480453
"Fiemme_Fassa_trk 316",864.3,46.283137,11.48066
"Fiemme_Fassa_trk 317",864.1,46.283152,11.480816
"Fiemme_Fassa_trk 318",864.0,46.283158,11.480934
