"Id del ";"Strada ";"Comune ";"Km da ";"Km a "
431;"SP 34";"STENICO";14.603;15.875
103;"SS 421";"STENICO";36.5;36.9
312;"SP 33";"STENICO";2.39;3.451
310;"SP 33";"STENICO";0.0;0.35
313;"SP 69";"STORO";0.0;0.6
105;"SS 237";"STORO";57.75;58.715
104;"SS 237";"STORO";55.788;57.1
314;"SP 241";"STORO";3.0;3.7
107;"SS 240";"STORO";50.17;52.25
108;"SS 239";"STREMBO";35.25;36.25
317;"SP 39";"STRIGNO";0.0;0.227
316;"SP 42";"STRIGNO";0.0;0.6
315;"SP 41";"STRIGNO";3.1;3.328
319;"SP 78";"STRIGNO";3.108;3.618
318;"SP 78";"STRIGNO";1.284;2.823
322;"SP 13 dir Dardine";"TAIO";1.4;1.543
110;"SS 43";"TAIO";11.9;13.3
109;"SS 43";"TAIO";9.9;10.55
320;"SP 13";"TAIO";13.516;14.512
321;"SP 13";"TAIO";0.0;0.695
111;"SS 43 dir";"TAIO";0.0;0.2
501;"SP 10";"TASSULLO";0.667;1.973
659;"SP 138";"TERRAGNOLO";0.415;0.775
656;"SP 138";"TERRAGNOLO";0.0;0.095
657;"SP 2";"TERRAGNOLO";16.658;17.3
675;"SP 138";"TERRAGNOLO";0.0;0.08
655;"SP 2";"TERRAGNOLO";12.188;12.78
674;"SP 2";"TERRAGNOLO";12.188;12.78
678;"SP 138";"TERRAGNOLO";0.36;0.73
682;"SP 138";"TERRAGNOLO";3.983;4.146
672;"SP 2";"TERRAGNOLO";10.112;10.576
663;"SP 138";"TERRAGNOLO";3.975;4.146
677;"SP 138";"TERRAGNOLO";0.08;0.36
653;"SP 2";"TERRAGNOLO";10.112;10.576
658;"SP 138";"TERRAGNOLO";0.095;0.415
673;"SP 2";"TERRAGNOLO";11.94;12.188
661;"SP 138";"TERRAGNOLO";3.309;3.758
654;"SP 2";"TERRAGNOLO";11.941;12.165
660;"SP 138";"TERRAGNOLO";2.762;3.252
680;"SP 138";"TERRAGNOLO";3.309;3.78
679;"SP 138";"TERRAGNOLO";2.762;3.309
676;"SP 2";"TERRAGNOLO";16.666;17.3
681;"SP 138";"TERRAGNOLO";3.78;3.983
662;"SP 138";"TERRAGNOLO";3.758;3.975
323;"SP 73";"TERRES";8.35;9.06
420;"SP 201";"TERZOLAS";0.0;0.63
419;"SP 125";"TERZOLAS";0.26;1.23
112;"SS 48";"TESERO";28.2;29.25
324;"SP 215";"TESERO";0.0;0.17
325;"SP 215";"TESERO";0.915;2.2
114;"SS 237";"TIONE DI TRENTO";84.23;86.8
113;"SS 239";"TIONE DI TRENTO";46.2;47.45
115;"SS 237";"TIONE DI TRENTO";89.17;90.0
509;"SP 124";"TON";2.685;3.45
511;"SP 203 dir";"TON";0.35;0.672
510;"SP 124";"TON";3.995;4.88
326;"SP 65";"TORCEGNO";8.25;9.18
689;"SP 89";"TRAMBILENO";1.525;2.45
690;"SP 50";"TRAMBILENO";2.835;3.295
652;"SP 253";"TRANSAQUA";0.0;0.44
651;"SS 50";"TRANSAQUA";71.1;71.83
487;"SS 45 bis";"TRENTO";146.24;146.615
327;"SP 13";"TRES";9.404;10.95
330;"SP 73";"TUENNO";12.646;14.488
328;"SP 10";"TUENNO";5.436;6.971
329;"SP 14";"TUENNO";0.0;0.4
116;"SS 612";"VALDA";20.794;21.506
684;"SP 250";"VALFLORIANA";0.0;0.275
687;"SP 250";"VALFLORIANA";4.25;4.74
686;"SP 250";"VALFLORIANA";3.065;3.43
685;"SP 250";"VALFLORIANA";0.678;1.33
688;"SP 250";"VALFLORIANA";4.86;5.265
683;"SP 71";"VALFLORIANA";33.305;33.88
624;"SP 89 dir Anghebeni";"VALLARSA";0.04;0.214
