,latitude,longitude,brand,operator,locality,fuel:lpg,address
68,46.2503653,11.1821647,Q8,Calovi Fulvio,ROVERE' DELLA LUNA,,"q8, Via IV Novembre, Roverè della Luna, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 39040, Italia"
69,46.073069,11.0581875,Q8,Cainelli S.A.S. di Cainelli Gianluigi e C.,TRENTO,,"Q8, Strada di Spinéda, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
70,45.9008235,10.857834,IP,Ip Services S.R.L.,RIVA DEL GARDA,yes,"Api-Ip, Pista Ciclabile Arco-Riva, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
71,46.3696864,11.033746,,Punto Grill Services S.R.L.,CLES,,"Q8, Via Guglielmo Marconi, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
72,46.358361200000004,10.9194105,Eni,G.S. Ristoauto Sas di Iori Gianni & C. in Sigla G.S. Ristoauto Sas,MALE',,"Agip, SP125, Tovare, Terzolas, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 3827, Italia"
73,46.388426,10.861792800000002,IP,Cicolini Patrizia,RABBI,,"IP, SP86, Rabbi, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38020, Italia"
74,46.3225666,10.8480121,Repsol,Zappini Piera,COMMEZZADURA,,"Repsol, SS42, Commezzadura, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38025, Italia"
75,46.3376744,10.8954965,Eni,Valentinelli Lorenzo,MONCLASSICO,yes,"Eni, Via Nazionale, Dimaro Folgarida, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38027, Italia"
76,46.14532,11.7856361,Q8,Masi Sas di Micheli Giovanna e C.,IMER,,"Q8, SS50, Gusellini, Imer, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
77,46.1723792,11.826037800000002,Esso,Er S.N.C. di Orler Ariano e Cosner A.,TRANSACQUA,,"Esso, Viale Piave, Pieve, Fiera di Primiero, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
78,46.2657857,11.0607509,Q8,Covi Nicola,DENNO,yes,"Q8, Strada Statale della Val di Non, Denno, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
79,46.2123616,11.1232287,Eni,Meneguot Giorgio,MEZZOCORONA,,"Agip Eni, Corso 4 Novembre, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
80,46.2069701,11.127614900000001,Q8,Distributore Da Greg di Lamusta Gregorio,MEZZOCORONA,,"Q8, Piazza Trento, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
81,46.3441852,10.7008574,IP,Distributore Ip di Paternoster Michele,PEIO,,"IP, Via Róge, Ossana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
82,46.338723200000004,10.7065796,Q8,Gioinvest S.R.L.,PEIO,,"Q8, Via Róge, Ossana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
83,46.268196100000004,11.036287,Tamoil,Callovi Gianfranco & C. S.N.C.,CAMPODENNO,,"Tamoil, Via Principale, Denno, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38019, Italia"
84,45.88755220000001,11.0590295,Firmin,Michelini Gianfranco,ROVERETO,,"Q8 Michelini, Viale dei Colli, Campolongo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
85,46.03738870000001,10.8760355,,,COMANO TERME,,"Agip, Via C. Battisti, Comano Terme, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38077, Italia"
86,46.0022596,11.199944,Total Erg,Zamboni Gianfranco,VIGOLO VATTARO,,"Total, Via della Fricca, Maso Stauderi, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
87,46.1623322,10.7657244,Eni,Bonapace Piera,PINZOLO,,"Agip Eni, Via N. Bolognini, Pinzolo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38086, Italia"
88,46.1542355,10.7662849,Tamoil,Frizzi Adolfo,GIUSTINO,,"Tamoil, Viale Dolomiti, Giustino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
89,46.0649368,11.2465507,Tamoil,Gianni Filippi & C. S.N.C.,PERGINE VALSUGANA,,"Costantin, SP8, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
90,45.88525870000001,10.847754,Eni,Di Palma Petroli S.N.C. di Angelo e Giuseppe di Palma,RIVA DEL GARDA,,"Agip, Viale Giosuè Carducci, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
91,45.8808094,10.8551506,Q8,Servizi & Gestioni Italia S.R.L.,RIVA DEL GARDA,,"Q8, Viale Rovereto, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
92,46.005769799999996,11.2413397,IP,Officina Giacomini S.N.C. di Giacomini Benito & C. in Sigla Offi- Cina Giacomini S.N.C.,CALCERANICA AL LAGO,,"IP, Strada Provinciale del Lago di Caldonazzo, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38049, Italia"
93,45.9064013,10.866292199999998,IP,Ip Services S.R.L.,ARCO,,"IP, Via Santa Caterina, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
94,46.176630700000004,11.223679400000002,,Gottardi Romano e F.lli Snc,CEMBRA,,"Gottardi Romano e F.lli Snc, Viale 4 novembre, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
95,46.341888299999994,10.903399499999999,Tamoil,Albakos di Tasholli Shpend,CROVIANA,,"Tamoil, SS42, Croviana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38027, Italia"
96,46.311374900000004,10.759205099999999,,,PELLIZZANO,,"Cristoforetti, Via Nazionale, Ponte, Pellizzano, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
