"id strada";"denominazione";"localita di inizio strada";"localita di fine strada";"TIPO"
86;"di Castel Condino";"Cimego S.S 237 al km 68.700";"C.a. Castel Condino";"C"
87;"Fersina - Avisio";"Civezzano";"Stramentizzo fine S.P. incrocio con SS612 km 40,500";"C"
326;"della val Camino";"SP 83";"SP 71";"C"
88;"Destra Anaunia";"S.S. 43 al km 19,990";"Cles";"C"
89;"della Novella";"Revò - SS 42 km 196,950";"S. Zeno su SS 43 dir. 4,055";"C"
90;"della Novella diramazione Casez";"si stacca da S.P. 74 al km 3,456";"fine Casez sulla S.P. 24 al km 1,490";"C"
91;"del Grigno";"Abitato di Grigno incr. con S.P. n. 75/dir. al km 2,750";"Abitato Castello Tesino incr. con S.P. n. 78 al km 14,514";"C"
93;"diramazione di Grigno";;;"C"
94;"del Grigno diramazione svincoli Serafini";;;"C"
312;"del Grigno svincoli";;;"C"
95;"Gardolo - Lases";"S.S. 12 Lamar di Gardolo";"Lases incrocio con S.P. 71";"C"
96;"Gardolo - Lases diramazione S. Lazzaro";"Meano";"San Lazzaro";"C"
98;"Gardolo - Lases diramazione Lases";"S.P. 76";"Lases";"C"
345;"della Valcava";"innesto con SP 71 al km 24,450";"innesto con SP8 83 al km 19,780 - abitato di Brusago";"C"
99;"del Tesino";"Barricata incr. Con S.S. 47 al km 91,150";"abitato Castello Tesino";"C"
100;"del Brocon";"Imer incr. con S.S. 50 al km 67,700";"abitato Castello Tesino";"C"
101;"del Totoga";"Lanterna Rossa incr. con S.S. 50 al km 65,400";"Lausen incr. on S.P. n. 79 al km 10,230";"C"
102;"del Passo Valles";"incrocio con S.S. 50";"fine S.S. confine con Provincia di Belluno";"C"
103;"di Pinè";"incrocio con S.S.47";"Sover incrocio con S.P. 71";"C"
104;"di Pinè diramazione Faida";"Baselga di Pinè";"Faida";"C"
105;"di Pinè diramazione Bedollo";"Centrale";"Bedollo";"C"
106;"di Pinè svincolo Mochena";"Mochena";"Mochena";"C"
107;"di Cavedine";"dopo l'abitato di Mezzano staccandosi dalla S.S. 45 bis e diamazioni";"paese di Dro";"C"
108;"di Cavedine diramazione Padergnone";;;"C"
109;"di Cavedine svincolo Dro";;;"C"
110;"di Cavedine svincolo Padergnone";;;"C"
111;"del Monte Bondone";"si stacca dalla S.S. 45 in località Monte Video";"intersezione con S.P. 84 dopo Paese di Lasino";"C"
112;"del Monte Bondone diramazione Sopramonte";"inizia staccandosi dalla S.P. 85 in località Candriai";"intersezione con S.S 45 bis prima dell'abitato di Cadine";"C"
113;"del Monte Bondone diramazione Vigolo Baselga";"inizia staccandosi dalla diramazione per Sopramonte prima del Paese di Sopramonte";"intersezione con S.S. 45 bis dopo Paese di Vigolo Baselga";"C"
114;"di Rabbi";"Bivio S.P n.201 di Malè";"Rabbi Plan";"C"
115;"di Rabbi diramazione Piazzola";;;"C"
117;"di Pejo";"Fucine";"Peio";"C"
116;"di Pejo diramazione Comasine";;;"C"
118;"di Pejo diramazione Celentino";;;"C"
119;"della Val di Gresta";"Loppio (bivio S.S. 240 km 9,000)";"Croce di Castellano (bivio S.P. 20 KM 9,550)";"C"
120;"Sinistra Leno";"Rovereto";"loc. Ometto fine Strada";"C"
121;"Sinistra Leno diramazione Miravalle";"S.P. 89 km 2,045";"Campana dei Caduti fine strada";"C"
122;"Sinistra Leno diramazione Anghebeni";"località Aste km 14,880 della S.P. 89";"località Anghebeni km 56,930 SS. 46 del Pasubio";"C"
123;"Destra Adige 1° tronco (confine VR - Mori)";"Mama d'Avio confine Provincia di Verona";"Centro abitato Mori";"C"
124;"Destra Adige 1° tronco diramazione Borghetto";"ponte sull'Adige confine Provincia di Verona";"S.S. 12 km 326,400";"C"
125;"Destra Adige 1° tronco diramazione Ala";;;"C"
126;"Destra Adige 2° tronco (Mori - Ravina)";"Ravazzone (bivio S.S. 240 km 3,350)";"Ravina";"C"
127;"Destra Adige 2° tronco diramazione Rovereto";"Cornalé (bivio S.P. 90 km 2,355)";"ponte f. Adige Borgo Sacco (sinistra orografica)";"C"
128;"Destra Adige 2° tronco diramazione Sant Ilario";"Villa Lagarina (bivio S.P. 90 Km 6,745)";"ponte f. Adige S.Ilario (sinistra orografica)";"C"
130;"Destra Adige 2° tronco diramazione per aeroporto";;;"C"
131;"Destra Adige 3° tronco (Zambana - Mezzolombardo)";;;"C"
132;"Destra Adige 3° tronco diramazone Ponte Nave S. Felice";;;"C"
133;"Destra Adige 4° tronco (Mezzocorona - Roveré della Luna)";;;"C"
134;"Destra Adige 4° tronco diramazione Grumo";;;"C"
135;"Destra Adige 5° tronco (confine BZ - confine BZ)";"Roverè della Luna";"Provincia di Bolzano";"C"
136;"Fraviano - Cortina";"Pizzano";"Bivio S.S. n. 42";"C"
137;"di Stavel";"Pizzano";"Bivio S.S. n. 42";"C"
139;"del Lago Santo";"Cembra - bivio S.S. 612";"Lago Santo";"C"
302;"di Anterivo";;;"C"
140;"Trasversale Valle di Cembra";"Faver - bivio S.S. 612";"S.P. 71 - km 16,150";"C"
333;"SP 101 svincolo di Faver";;;"C"
319;"delle Piramidi";"Saletto - SP 71";"Strente";"C"
141;"delle Quadrate";"S.P. 83 km 5,700";"Fornace";"C"
142;"di San Michele all'Adige";"staccandosi dalla S.S. 12 prima dell'abitato di San Michele";"all'intersezinione con S.S. 12 in loc. Cacciatore";"C"
316;"SP 106 diramazione S.S. 12";;;"C"
143;"del Lago di Canzolino";"Bivio S.P. 66";"Bivio S.P. 83";"C"
144;"del Lago di Canzolino diramazione per Canzolino";"località Canzolino";"Lago di Canzolino";"C"
145;"della Valle di Centa";"Vattaro Pian dei Pradi SS 349";"Caldonazzo S.P. 133";"C"
146;"di Borgo";"Samatec in corrispondenza del km 0,000 S.P. 237";"Larganza incrocio con S.S. 47 al km 99,350 svincoli complessivi km 1,062";"C"
308;"di Borgo svincoli";;;"C"
148;"di Telve";"Borgo incrocio con S.P. 109 al km 3,000";"Telve incrocio con S.P. n.  31 al km 2,103";"C"
149;"di Carzano";"incrocio con S.P. n. 31 al km 1,000";"Carzano incrocio con S.P. 65 al km 12,346";"C"
150;"Pieve - Cinte Tesino";"Pieve Tesino incrocio con S.P. 78 al km 11,735";"inizio abitato Cinte Tesino";"C"
151;"di Sagron Mis";"Abitato Mis di mezzo incrocio con la S.S. 347 al km 11,400";"Abitato di Sagron";"C"
153;"di San Giorgio";"Riva del Garda (incrocio con S.S. 240 al km 18,474)";"Arco (rotatoria con S.S. 45 bis )";"C"
154;"di Concei";"Pieve di Ledro (incrocio con S.S. 240 al km 34,353)";"Centro abitato di Lenzumo";"C"
155;"di Concei diramazione Bezzecca";"Locca (incrocio con S.P. n. 119 al km 1,202)";"Bezzecca (incrocio con S.S. 240 al km 34,879)";"C"
156;"di Prezzo";"Creto (P.di Bono) S.S 237 al km 71.500";"C.a. Prezzo";"C"
322;"di Prezzo diramazione Boniprati";"Prezzo";"Boniprati";"C"
157;"di Brione";"centro abitato Condino";"centro abitato Brione";"C"
158;"di Brione svincolo Condino nord";"Bivio sud Condino S.S 237 al km 63.350";"Bivio Condino nord S.S 237 al km 65.900";"C"
159;"di Ton";"S.S. 43 al km 22,400";"S.P. n. 203 del Rinassico al km 2,576";"C"
160;"di Ton diramazione Castel Thun";;;"C"
161;"Terzolas";"Magras";"Bivio S.S. n. 42";"C"
303;"di Terzolas diramazione Samoclevo";;;"C"
162;"della Taoletta";"bivio S.S. 48 al km  19,864";"S.S. 620 km 20,536 fine S.P.";"C"
163;"della Taoletta diramazione Cavalese";"S.P. della Taoletta km 2,255";"S.S. 48 km 23,641 fine S.P.";"C"
164;"di Tremalzo";"Tiarno di Sopra loc. Passo Ampola (incrocio con S.S. 240 km 42,356)";"Tiarno di Sopra località Tremalzo";"C"
165;"del Vino 1° tronco (da Pressano alla S.P. 58)";"si stacca dalla S.S. 612 nel centro abitato di Lavis";"intersezione con S.P. 58";"C"
166;"del Vino 1° tronco diramazione Verla";;;"C"
167;"del Vino 2° tronco (da Maso Bolleri a Montevaccino)";;;"C"
168;"del Vino 5° tronco (da Mattarello a Romagnano)";;;"C"
338;"z.a. Caldonazzo";"SP 8";"SP 133";"C"
169;"di Monterovere";"Caldonazzo S.P. 1";"Monterovere SS 349";"C"
170;"di Monterovere diramazione di Levico";"Levico S.P. 228";"Bivio Pegolara SP. 133";"C"
314;"di Monterovere diramazione svincoli SS 47";;;"C"
329;"Destra Centa";"SP 133";"SP 133 DIR";"C"
171;"Sinistra Fersina";"Canezza";"Palù del Fersina";"C"
172;"della Borcola";"Piazza di Terragnolo (bivio S.P. 2 Km 12,482)";"Passo Borcola (confine Vicenza)";"C"
173;"del Castellaz";"S.S. 43 al km 3,750";"S.S. 42 al km 194,290";"C"
