"Denominazione impianto","Comune","Lunghezza Inclinata (m)","Dislivello (m)","Tipo veicolo","CapacitÃ  Veicolo (Pers.)","Portata Max (Pers/h)"
"Funivia - Al Passo","Moena","395","61","seggiola",4,2000
"Fondo Grande - Dosso Martinella","Folgaria","975","292","seggiola",4,1896
"Fondo Grande - Cima Sommo Alto","Folgaria","972","312","seggiola",4,2182
"Campo Scuola - GardonÃ¨","Predazzo","360","72","seggiola",4,1500
"Buffaure - Col de Valvacin","Pozza di Fassa","1045","313","seggiola",4,1650
"Malga Ces - Valbonetta","Siror","953,53","225,5","seggiola",4,1800
"Rindole - Doss de Lava","Andalo","177,89","45,5","seggiola",4,1480
"Ottava - Monti Alti","Dimaro","343","99,87","seggiola",2,608
"Fondo Piccolo - Cengio Rosso","Folgaria","521","112","seggiola",4,1800
"Passo San Pellegrino - Campigol","Moena","530,97","94","seggiola",4,1600
"Pala - del Geigher","Pozza di Fassa","693,77","219,47","seggiola",4,1800
"Buffaure - Buffaure di sotto","Pozza di Fassa","569,53","185,5","seggiola",4,1800
"Malga Laghetto - Monte Ust - Sonek","Lavarone","1213","246","seggiola",4,1495
"Gherdeccia - Belvedere","Canazei","626,28","126,5","seggiola",4,2000
"Ciavazes - Grohman","Canazei","535,42","114,7","seggiola",4,2144
"Fondo Piccolo - Cima Spill","Folgaria","499","164,4","seggiola",4,2191
"Prati di Gaggia - Teresat","Andalo","254,63","56,25","seggiola",4,1988
"Rigolor - Cima Panarotta","Pergine - Frassilongo","1257,74","416,54","seggiola",4,1800
"Le Salare - Conca d'Argento","Terlago","823,93","191,1","seggiola",4,2040
"Pradel - Croz dell'Altissimo","Molveno","698,53","162,7","seggiola",2,900
"Busa Stavelin - Doss del Blanco","Peio","316","108","seggiola",3,1317
"Grual - Monte Grual","Stenico - Pinzolo","385,74","73,7","seggiola",4,1790
"Malga Laghetto - Monte Cucco - Passo Vezzena","Levico-Luserna-Lavarone","2137,68","505","seggiola",4,1478
"LaresÃ¨ - Monte Agaro","Castello Tesino","976,1","342,1","seggiola",4,1793
"Selletta - Cima Paganella","Zambana-Fai","589,46","154","seggiola",4,1800
"Busa Stavelin - Doss dei Cembri","Peio","1200","343","seggiola",4,890
